smiles,set,dim1,dim2
CCOc1ccc(C[C@H]2NC(=O)CCSSC[C@@H](C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)CC)NC2=O)cc1,chembl,-69.37291,-14.003898
O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,chembl,-25.780697,-28.707397
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,chembl,-38.361908,-6.3190274
Cc1ccc(NC(=O)[C@H]2CCCN(C(=O)c3c(C)cccc3F)[C@H]2c2ccc(NC3CCCC3)cc2)cc1C(F)(F)F,chembl,-47.748432,-0.27615482
COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,chembl,-51.799805,1.0075558
Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,chembl,-60.327576,-13.5347595
O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1,chembl,-49.846172,3.6971316
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,chembl,-56.344536,15.493324
COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1,chembl,-20.982225,-49.198456
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,chembl,-25.451447,17.304474
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,chembl,-73.73488,18.011242
CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,chembl,-71.52619,21.72357
CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,chembl,-39.21373,-26.625452
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12,chembl,-9.201906,58.768078
O=C(O)CCCCCCCC(=O)O,chembl,-34.089294,31.64163
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,chembl,-31.804708,-25.711285
CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,chembl,-26.854155,-5.2885575
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,chembl,-63.954174,29.877815
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,chembl,-81.67693,-2.2812552
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,chembl,-88.23573,-1.4031894
CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,chembl,-82.63016,-2.675276
NCC(CC(=O)O)c1ccc(Cl)cc1,chembl,-33.535717,15.003569
COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O,chembl,-40.804516,-5.229158
O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,chembl,-6.3324103,15.157264
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,chembl,-26.857382,-13.158513
CCC1(CC)C(=O)NC(=O)NC1=O,chembl,-44.575966,28.93648
CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,chembl,-61.675674,6.247396
Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,chembl,-52.109303,-3.3575947
CCOC(=O)C(C)(CC)Oc1ccc(Cc2ccc(Cl)cc2)cc1,chembl,-34.81362,19.0571
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,chembl,-64.504135,45.772217
COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,chembl,13.575654,-36.913696
O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,chembl,4.337401,19.39188
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,chembl,-20.01217,2.3133113
CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)[C@@H]2F,chembl,9.82058,-9.292992
CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,chembl,-32.745705,29.372278
CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,chembl,-36.40865,-3.9984434
Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,chembl,-39.57078,20.878061
O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,chembl,-5.5437675,-1.7168237
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,chembl,-24.14664,-20.143574
CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,chembl,-14.9355545,7.126564
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,chembl,-20.513771,10.930661
CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,chembl,-18.597315,-33.344822
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,chembl,-17.820192,33.26341
O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,chembl,-57.473022,-7.5221395
O=C(O)c1ccc(NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1,chembl,-19.281834,8.134411
CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,chembl,-0.32895958,-45.4303
CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,chembl,-0.37971127,-45.40795
COc1ccc2c3c1O[C@H]1C[C@@H](OC(=O)c4ccccc4)C=C[C@@]31CCN(C)C2,chembl,-65.94799,-28.903421
COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341,chembl,-65.960434,-28.794981
CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,chembl,-0.3808983,-45.399292
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,chembl,-10.919445,55.711926
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,chembl,-15.979763,34.100773
O=C(OOC(=O)c1ccccc1)c1ccccc1,chembl,-18.63429,9.369948
C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1,chembl,-9.213906,0.7155499
CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O,chembl,-64.34504,-24.232462
NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,chembl,-24.255526,-20.167883
CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,chembl,-34.979218,-16.989313
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,chembl,-6.1641655,-1.6275508
O=C(OCc1ccccc1)c1ccccc1,chembl,-17.846333,8.326409
O=C(O)CCCN1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1,chembl,-39.292004,-14.577247
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,chembl,-35.38873,-15.187481
N#Cc1cccc([C@@H](NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1,chembl,-50.60358,-12.610442
N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,chembl,-65.1046,-4.977107
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,chembl,-55.098698,30.577187
CNCCc1ccccn1,chembl,-9.794135,-12.040372
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,chembl,-66.26461,44.848938
CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,chembl,-65.476326,45.273106
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO,chembl,-64.68831,46.854282
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,chembl,-64.66786,45.83496
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,chembl,-65.69627,45.231117
