mol_id,cid,smiles,inchikey,formula,iupac_name,scaffold_id,scaffold_name,scaffold_class,scaffold_smarts,murcko_scaffold,mw,logp,tpsa,hbd,hba,rotb,heavy_atoms,rings,aromatic_rings,fraction_csp3,bertz_ct
MOL_00031,3534526,CCCCN(CCCC)c1ccc2c(c1)Oc1cc(C)c(Nc3ccccc3)cc1C21OC(=O)c2ccccc21,XAAILNNJDMIMON-UHFFFAOYSA-N,C35H36N2O3,"2'-anilino-6'-(dibutylamino)-3'-methylspiro[2-benzofuran-3,9'-xanthene]-1-one",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C1OC2(c3ccccc3Oc3ccc(Nc4ccccc4)cc32)c2ccccc21,532.684,8.713,50.8,1,5,9,40,6,4,0.2857,1540.02
MOL_00032,4934,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,VVWYOYDLCMFIEM-UHFFFAOYSA-N,C23H30NO3+,methyl-di(propan-2-yl)-[2-(9H-xanthene-9-carbonyloxy)ethyl]azanium,fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,c1ccc2c(c1)Cc1ccccc1O2,368.497,4.731,35.53,0,3,6,27,3,2,0.4348,759.28
MOL_00033,65079,O=C(O)CN(CC(=O)O)Cc1cc2c(cc1O)Oc1cc(O)c(CN(CC(=O)O)CC(=O)O)cc1C21OC(=O)c2ccccc21,DEGAKNSWVGKMLS-UHFFFAOYSA-N,C30H26N2O13,"2-[[7'-[[bis(carboxymethyl)amino]methyl]-3',6'-dihydroxy-3-oxospiro[2-benzofuran-1,9'-xanthene]-2'-yl]methyl-(carboxymethyl)amino]acetic acid",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,622.539,1.608,231.67,6,11,12,45,5,3,0.2333,1626.28
MOL_00034,45256109,CC(C)(C)COc1ccc2c(c1)C1(COC(N)=N1)c1cc(-c3cncnc3)ccc1O2,CHZHWZAKWGFQNL-UHFFFAOYSA-N,C24H24N4O3,"(4S)-2'-(2,2-dimethylpropoxy)-7'-pyrimidin-5-ylspiro[5H-1,3-oxazole-4,9'-xanthene]-2-amine",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,C1=NC2(CO1)c1ccccc1Oc1ccc(-c3cncnc3)cc12,416.481,4.263,91.85,1,7,3,31,5,3,0.2917,1171.19
MOL_00035,718110,O=C(NCc1ccccc1)C1c2ccccc2Oc2ccccc21,IIHXKBJYWQXVJQ-UHFFFAOYSA-N,C21H17NO2,N-benzyl-9H-xanthene-9-carboxamide,fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C(NCc1ccccc1)C1c2ccccc2Oc2ccccc21,315.372,4.241,38.33,1,2,3,24,4,3,0.0952,828.27
MOL_00036,233085,Cc1ccc(S(=O)(=O)NC2c3ccccc3Oc3ccccc32)cc1,OZCQEUZTOAAWDK-UHFFFAOYSA-N,C20H17NO3S,4-methyl-N-(9H-xanthen-9-yl)benzenesulfonamide,fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=S(=O)(NC1c2ccccc2Oc2ccccc21)c1ccccc1,351.427,4.169,55.4,1,3,3,25,4,3,0.1,981.32
MOL_00037,452704,O=C1OC2(c3ccccc31)c1cc([N+](=O)[O-])c(O)c(Br)c1Oc1c2cc([N+](=O)[O-])c(O)c1Br,ZBQZBWKNGDEDOA-UHFFFAOYSA-N,C20H8Br2N2O9,"4',5'-dibromo-3',6'-dihydroxy-2',7'-dinitrospiro[2-benzofuran-3,9'-xanthene]-1-one",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,580.097,5.007,162.27,2,9,2,33,5,3,0.05,1378.68
MOL_00038,8505,O=C1OC2(c3cc(Br)c([O-])cc3Oc3c2cc(Br)c([O-])[c]3[Hg])c2ccccc21,QYASQKXPVNIEMX-UHFFFAOYSA-L,C20H9Br2HgNa2O6,"disodium;(2',7'-dibromo-3',6'-dioxido-3-oxospiro[2-benzofuran-1,9'-xanthene]-4'-yl)mercury;hydrate",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,687.669,3.099,81.65,0,5,0,28,5,3,0.05,1209.69
MOL_00039,725696,O=C(O)C(C(=O)O)C1c2ccccc2Oc2ccccc21,DAGVVNNXSVDEPY-UHFFFAOYSA-N,C16H12O5,2-(9H-xanthen-9-yl)propanedioic acid,fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,c1ccc2c(c1)Cc1ccccc1O2,284.267,2.71,83.83,2,3,3,21,3,2,0.125,662.61
MOL_00040,80424,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,QCPFFGGFHNZBEP-UHFFFAOYSA-N,C20H8Cl4O5,"4,5,6,7-tetrachloro-3',6'-dihydroxyspiro[2-benzofuran-3,9'-xanthene]-1-one",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,470.091,6.279,75.99,2,5,0,29,5,3,0.05,1202.85
MOL_00041,669620,CCN(CC)C(=O)C1c2ccccc2Oc2ccccc21,IAGIJTHESCPASW-UHFFFAOYSA-N,C18H19NO2,"N,N-diethyl-9H-xanthene-9-carboxamide",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,c1ccc2c(c1)Cc1ccccc1O2,281.355,3.793,29.54,0,2,3,21,3,2,0.2778,616.27
MOL_00042,44573698,Cc1nc(NC(=O)C2c3ccccc3Oc3ccccc32)no1,KXBNLKGEYKHKAO-UHFFFAOYSA-N,C17H13N3O3,"N-(5-methyl-1,2,4-oxadiazol-3-yl)-9H-xanthene-9-carboxamide",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C(Nc1ncon1)C1c2ccccc2Oc2ccccc21,307.309,3.254,77.25,1,5,2,23,4,3,0.1176,842.55
MOL_00043,9949202,CCCCOC(=O)NC(=O)C1c2ccccc2Oc2ccccc21,RQBUXEUMZZQUFY-UHFFFAOYSA-N,C19H19NO4,butyl N-(9H-xanthene-9-carbonyl)carbamate,fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,c1ccc2c(c1)Cc1ccccc1O2,325.364,3.977,64.63,1,4,4,24,3,2,0.2632,711.04
MOL_00044,122038,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccc(N3C(=O)C=CC3=O)cc21,AYDAHOIUHVUJHQ-UHFFFAOYSA-N,C24H13NO7,"1-(3',6'-dihydroxy-3-oxospiro[2-benzofuran-1,9'-xanthene]-5-yl)pyrrole-2,5-dione",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccc(N3C(=O)C=CC3=O)cc21,427.368,3.095,113.37,2,7,1,32,6,3,0.0417,1352.34
MOL_00045,45255110,COc1ccc2c(c1)C1(COC(N)=N1)c1cc(-c3cc(Cl)ccc3F)ccc1O2,WIRKEQRUHLXVOQ-UHFFFAOYSA-N,C22H16ClFN2O3,"(4S)-2'-(5-chloro-2-fluorophenyl)-7'-methoxyspiro[5H-1,3-oxazole-4,9'-xanthene]-2-amine",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,C1=NC2(CO1)c1ccccc1Oc1ccc(-c3ccccc3)cc12,410.832,4.849,66.07,1,5,2,29,5,3,0.1364,1180.71
MOL_00046,3124834,O=C1OC2(c3ccccc31)c1ccc3cc(O)ccc3c1Oc1c2ccc2cc(O)ccc12,IXQIUDNVFVTQLJ-UHFFFAOYSA-N,C28H16O5,"7',19'-dihydroxyspiro[2-benzofuran-3,13'-2-oxapentacyclo[12.8.0.03,12.04,9.017,22]docosa-1(14),3(12),4(9),5,7,10,15,17(22),18,20-decaene]-1-one",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C1OC2(c3ccccc31)c1ccc3ccccc3c1Oc1c2ccc2ccccc12,432.431,5.972,75.99,2,5,0,33,7,5,0.0357,1575.77
MOL_00047,11678377,O=C(NC1C[N+]2(CCCOc3ccccc3)CCC1CC2)C1c2ccccc2Oc2ccccc21,RHWFCIJKMABLLH-UHFFFAOYSA-O,C30H33BrN2O3,N-[(3R)-1-(3-phenoxypropyl)-1-azoniabicyclo[2.2.2]octan-3-yl]-9H-xanthene-9-carboxamide bromide,fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C(NC1C[N+]2(CCCOc3ccccc3)CCC1CC2)C1c2ccccc2Oc2ccccc21,469.605,5.119,47.56,1,3,7,35,7,3,0.3667,1141.47
